titulacion;universidad;facultad;provincia;comunidad_autonoma;nota_actual;nota_anterior;nota_maxima;universidad_nota_maxima;nota_minima;universidad_nota_minima
Ingeniería Electrónica Industrial y Automática;Universidad de Salamanca;Escuela Técnica Superior de Ingeniería Industrial;Salamanca;Castilla y León;5,0;5,0;10,839;Universidad Carlos III de Madrid;;Varios
Ingeniería Electrónica Industrial y Automática;Universidad de Valladolid;Escuela de Ingenierías Industriales;Valladolid;Castilla y León;5,0;5,0;10,839;Universidad Carlos III de Madrid;;Varios
Ingeniería Electrónica Industrial y Automática;Universidad de León;Escuela de Ingenierías Industrial, Informática y Aeroespacial;León;Castilla y León;5,0;5,0;10,839;Universidad Carlos III de Madrid;;Varios
Ingeniería Eléctrica;Universidad de Valladolid;Escuela de Ingenierías Industriales;Valladolid;Castilla y León;5,0;5,0;10,887;Universidad Carlos III de Madrid;;Varios
Ingeniería Eléctrica;Universidad de Salamanca;Escuela Técnica Superior de Ingeniería Industrial;Salamanca;Castilla y León;5,0;5,0;10,887;Universidad Carlos III de Madrid;;Varios
Ingeniería Eléctrica;Universidad de León;Escuela de Ingenierías Industrial, Informática y Aeroespacial;León;Castilla y León;5,0;5,0;10,887;Universidad Carlos III de Madrid;;Varios
Ingeniería Eléctrica / Ingeniería Electrónica Industrial y Automática;Universidad de Salamanca;Escuela Técnica Superior de Ingeniería Industrial;Salamanca;Castilla y León;5,0;5,0;11,514;Universidad Politécnica de Madrid;;Universidad de Salamanca
Ingeniería Eléctrica / Ingeniería Mecánica;Universidad de Salamanca;Escuela Técnica Superior de Ingeniería Industrial;Salamanca;Castilla y León;5,0;5,0;10,629;Universidad de Málaga;;Varios
Ingeniería Eléctrica / Ingeniería de la Energía;Universidad de León;Escuela Superior y Técnica de Ingenieros de Minas;León;Castilla y León;5,0;5,0;5,0;Universidad de León;;Universidad de León
Ingeniería Energética;Universidad de Valladolid;Escuela de Ingenierías Industriales;Valladolid;Castilla y León;5,0;5,0;5,0;Varios;;Varios
Ingeniería Forestal y del Medio Natural;Universidad de Valladolid;Escuela Técnica Superior de Ingenierías Agrarias;Palencia;Castilla y León;5,0;5,0;7,68;Universidad Politécnica de Valencia;;Varios
Ingeniería Forestal y del Medio Natural;Universidad de León;Escuela de Ingeniería Agraria y Forestal. Extensión Ponferrada;León;Castilla y León;5,0;5,0;7,68;Universidad Politécnica de Valencia;;Varios
Ingeniería Forestal: Industrias Forestales;Universidad de Valladolid;Escuela de Ingeniería de la Industria Forestal, Agronómica y de la Bioenergía;Soria;Castilla y León;5,0;5,0;5,0;Universidad de Valladolid;;Universidad de Valladolid
Ingeniería Geológica;Universidad de Salamanca;Facultad de Ciencias;Salamanca;Castilla y León;5,0;5,0;8,114;Universidad Politécnica de Madrid;;Varios
Ingeniería Geomática y Topográfica;Universidad de León;Escuela Superior y Técnica de Ingenieros de Minas. Extensión Ponferrada;León;Castilla y León;5,0;5,0;5,0;Varios;;Varios
